Epoch: 0  0/195, Time 271.154 (271.154), Data 259.269 (259.269), Loss 3.8282e-01 (3.8282e-01), Acc@1 100.00 (100.00), Acc@5 100.00 (100.00)
Epoch: 0 10/195, Time  0.729 (25.194), Data  0.000 (23.571), Loss 7.7406e+00 (6.4260e+00), Acc@1   0.39 (  9.34), Acc@5   2.34 ( 10.23)
Epoch: 0 20/195, Time  0.557 (13.453), Data  0.001 (12.347), Loss 8.2651e+00 (7.2001e+00), Acc@1   0.00 (  4.97), Acc@5   0.78 (  5.82)
Epoch: 0 30/195, Time  0.539 ( 9.306), Data  0.000 ( 8.364), Loss 8.4990e+00 (7.5891e+00), Acc@1   0.39 (  3.47), Acc@5   1.56 (  4.35)
Epoch: 0 40/195, Time  0.424 ( 7.151), Data  0.000 ( 6.324), Loss 8.6804e+00 (7.8320e+00), Acc@1   0.39 (  2.72), Acc@5   2.73 (  3.59)
Epoch: 0 50/195, Time  0.452 ( 5.843), Data  0.000 ( 5.084), Loss 8.7575e+00 (8.0021e+00), Acc@1   0.00 (  2.30), Acc@5   1.17 (  3.25)
Epoch: 0 60/195, Time  0.423 ( 4.960), Data  0.000 ( 4.251), Loss 8.7835e+00 (8.1263e+00), Acc@1   0.00 (  1.95), Acc@5   2.34 (  2.95)
Epoch: 0 70/195, Time  0.452 ( 4.329), Data  0.001 ( 3.652), Loss 8.7686e+00 (8.2187e+00), Acc@1   1.17 (  1.74), Acc@5   2.73 (  2.76)
Epoch: 0 80/195, Time  0.431 ( 3.851), Data  0.001 ( 3.202), Loss 8.7980e+00 (8.2934e+00), Acc@1   0.78 (  1.62), Acc@5   3.12 (  2.68)
Epoch: 0 90/195, Time  0.350 ( 3.468), Data  0.001 ( 2.850), Loss 8.8736e+00 (8.3488e+00), Acc@1   0.00 (  1.49), Acc@5   1.56 (  2.60)
Epoch: 0100/195, Time  0.349 ( 3.163), Data  0.001 ( 2.568), Loss 8.7566e+00 (8.3913e+00), Acc@1   1.56 (  1.38), Acc@5   4.30 (  2.54)
Epoch: 0110/195, Time  0.375 ( 2.913), Data  0.000 ( 2.337), Loss 8.6857e+00 (8.4262e+00), Acc@1   0.39 (  1.33), Acc@5   2.34 (  2.59)
Epoch: 0120/195, Time  0.419 ( 2.708), Data  0.001 ( 2.144), Loss 8.7011e+00 (8.4521e+00), Acc@1   0.78 (  1.25), Acc@5   1.95 (  2.53)
Epoch: 0130/195, Time  0.437 ( 2.533), Data  0.000 ( 1.980), Loss 8.6889e+00 (8.4735e+00), Acc@1   1.17 (  1.22), Acc@5   3.52 (  2.56)
Epoch: 0140/195, Time  0.399 ( 2.382), Data  0.000 ( 1.840), Loss 8.7185e+00 (8.4896e+00), Acc@1   0.78 (  1.17), Acc@5   2.73 (  2.55)
Epoch: 0150/195, Time  0.399 ( 2.249), Data  0.000 ( 1.718), Loss 8.6426e+00 (8.5034e+00), Acc@1   0.00 (  1.14), Acc@5   1.95 (  2.55)
Epoch: 0160/195, Time  0.375 ( 2.132), Data  0.002 ( 1.611), Loss 8.6435e+00 (8.5130e+00), Acc@1   1.56 (  1.11), Acc@5   3.12 (  2.61)
Epoch: 0170/195, Time  0.350 ( 2.028), Data  0.001 ( 1.517), Loss 8.6466e+00 (8.5205e+00), Acc@1   1.17 (  1.12), Acc@5   3.52 (  2.66)
Epoch: 0180/195, Time  0.366 ( 1.935), Data  0.000 ( 1.433), Loss 8.5767e+00 (8.5249e+00), Acc@1   0.78 (  1.11), Acc@5   3.12 (  2.72)
Epoch: 0190/195, Time  0.393 ( 1.854), Data  0.000 ( 1.358), Loss 8.5336e+00 (8.5282e+00), Acc@1   0.78 (  1.10), Acc@5   4.30 (  2.75)
Epoch: 1  0/195, Time 220.272 (220.272), Data 219.870 (219.870), Loss 8.5570e+00 (8.5570e+00), Acc@1   1.17 (  1.17), Acc@5   5.86 (  5.86)
Epoch: 1 10/195, Time  0.381 (21.082), Data  0.000 (20.700), Loss 8.5668e+00 (8.5824e+00), Acc@1   1.95 (  0.85), Acc@5   3.12 (  3.20)
Epoch: 1 20/195, Time  0.367 (11.214), Data  0.001 (10.843), Loss 8.6115e+00 (8.5725e+00), Acc@1   0.00 (  0.78), Acc@5   3.12 (  3.24)
Epoch: 1 30/195, Time  0.386 ( 7.723), Data  0.001 ( 7.346), Loss 8.4388e+00 (8.5559e+00), Acc@1   0.78 (  0.79), Acc@5   1.95 (  3.14)
Epoch: 1 40/195, Time  0.356 ( 6.078), Data  0.001 ( 5.705), Loss 8.5480e+00 (8.5438e+00), Acc@1   1.95 (  0.88), Acc@5   2.73 (  3.18)
Epoch: 1 50/195, Time  0.365 ( 4.957), Data  0.001 ( 4.587), Loss 8.4965e+00 (8.5300e+00), Acc@1   1.95 (  0.99), Acc@5   3.12 (  3.30)
Epoch: 1 60/195, Time  0.351 ( 4.203), Data  0.000 ( 3.837), Loss 8.4807e+00 (8.5199e+00), Acc@1   0.39 (  0.96), Acc@5   3.52 (  3.39)
Epoch: 1 70/195, Time  0.374 ( 3.669), Data  0.000 ( 3.300), Loss 8.4155e+00 (8.5061e+00), Acc@1   1.56 (  0.96), Acc@5   2.34 (  3.32)
Epoch: 1 80/195, Time  0.360 ( 3.264), Data  0.001 ( 2.893), Loss 8.3276e+00 (8.4880e+00), Acc@1   0.39 (  0.95), Acc@5   4.69 (  3.40)
Epoch: 1 90/195, Time  0.345 ( 2.947), Data  0.000 ( 2.575), Loss 8.2984e+00 (8.4721e+00), Acc@1   0.78 (  0.95), Acc@5   2.73 (  3.47)
Epoch: 1100/195, Time  0.367 ( 2.697), Data  0.000 ( 2.321), Loss 8.3210e+00 (8.4565e+00), Acc@1   1.95 (  1.00), Acc@5   4.69 (  3.55)
Epoch: 1110/195, Time  0.387 ( 2.491), Data  0.001 ( 2.112), Loss 8.3154e+00 (8.4442e+00), Acc@1   0.39 (  1.01), Acc@5   2.73 (  3.58)
Epoch: 1120/195, Time  0.432 ( 2.322), Data  0.000 ( 1.938), Loss 8.2864e+00 (8.4335e+00), Acc@1   1.17 (  1.03), Acc@5   3.91 (  3.61)
Epoch: 1130/195, Time  0.444 ( 2.178), Data  0.000 ( 1.790), Loss 8.2024e+00 (8.4221e+00), Acc@1   1.95 (  1.03), Acc@5   5.47 (  3.61)
Epoch: 1140/195, Time  0.429 ( 2.057), Data  0.000 ( 1.663), Loss 8.1624e+00 (8.4132e+00), Acc@1   2.34 (  1.03), Acc@5   6.64 (  3.64)
Epoch: 1150/195, Time  0.407 ( 1.949), Data  0.000 ( 1.553), Loss 8.2432e+00 (8.4036e+00), Acc@1   1.17 (  1.02), Acc@5   3.91 (  3.66)
Epoch: 1160/195, Time  0.353 ( 1.853), Data  0.000 ( 1.457), Loss 8.4184e+00 (8.3975e+00), Acc@1   0.78 (  1.01), Acc@5   3.52 (  3.64)
Epoch: 1170/195, Time  0.353 ( 1.765), Data  0.001 ( 1.371), Loss 8.3436e+00 (8.3925e+00), Acc@1   1.17 (  1.01), Acc@5   2.73 (  3.70)
Epoch: 1180/195, Time  0.343 ( 1.687), Data  0.001 ( 1.296), Loss 8.2680e+00 (8.3869e+00), Acc@1   0.78 (  1.01), Acc@5   3.91 (  3.72)
Epoch: 1190/195, Time  0.328 ( 1.617), Data  0.001 ( 1.228), Loss 8.2235e+00 (8.3782e+00), Acc@1   0.00 (  1.02), Acc@5   4.69 (  3.74)
Epoch: 2  0/195, Time 255.497 (255.497), Data 255.097 (255.097), Loss 8.3019e+00 (8.3019e+00), Acc@1   0.78 (  0.78), Acc@5   3.52 (  3.52)
Epoch: 2 10/195, Time  0.351 (24.217), Data  0.000 (23.846), Loss 8.3189e+00 (8.2819e+00), Acc@1   0.78 (  1.21), Acc@5   4.30 (  4.30)
Epoch: 2 20/195, Time  0.364 (12.858), Data  0.001 (12.491), Loss 8.1930e+00 (8.2567e+00), Acc@1   0.78 (  1.06), Acc@5   3.52 (  3.81)
Epoch: 2 30/195, Time  0.354 ( 8.827), Data  0.000 ( 8.462), Loss 8.2075e+00 (8.2543e+00), Acc@1   0.78 (  1.13), Acc@5   3.91 (  3.88)
Epoch: 2 40/195, Time  0.359 ( 6.827), Data  0.001 ( 6.464), Loss 8.1402e+00 (8.2462e+00), Acc@1   1.17 (  1.20), Acc@5   2.34 (  4.06)
Epoch: 2 50/195, Time  0.355 ( 5.558), Data  0.000 ( 5.196), Loss 8.1561e+00 (8.2437e+00), Acc@1   1.17 (  1.13), Acc@5   4.30 (  3.95)
Epoch: 2 60/195, Time  0.361 ( 4.706), Data  0.001 ( 4.345), Loss 8.2210e+00 (8.2380e+00), Acc@1   1.17 (  1.21), Acc@5   6.25 (  4.16)
Epoch: 2 70/195, Time  0.360 ( 4.094), Data  0.000 ( 3.733), Loss 8.1695e+00 (8.2317e+00), Acc@1   0.39 (  1.19), Acc@5   1.95 (  4.18)
Epoch: 2 80/195, Time  0.362 ( 3.634), Data  0.000 ( 3.272), Loss 8.2887e+00 (8.2301e+00), Acc@1   1.95 (  1.20), Acc@5   4.69 (  4.24)
Epoch: 2 90/195, Time  0.363 ( 3.275), Data  0.001 ( 2.913), Loss 8.2885e+00 (8.2304e+00), Acc@1   0.39 (  1.21), Acc@5   4.69 (  4.22)
Epoch: 2100/195, Time  0.370 ( 2.987), Data  0.000 ( 2.624), Loss 8.2663e+00 (8.2272e+00), Acc@1   2.34 (  1.23), Acc@5   5.86 (  4.30)
Epoch: 2110/195, Time  0.368 ( 2.751), Data  0.001 ( 2.388), Loss 8.2694e+00 (8.2293e+00), Acc@1   0.39 (  1.23), Acc@5   5.08 (  4.31)
Epoch: 2120/195, Time  0.363 ( 2.563), Data  0.000 ( 2.199), Loss 8.2237e+00 (8.2298e+00), Acc@1   2.73 (  1.24), Acc@5   5.86 (  4.35)
Epoch: 2130/195, Time  0.384 ( 2.405), Data  0.001 ( 2.039), Loss 8.1648e+00 (8.2267e+00), Acc@1   0.39 (  1.23), Acc@5   4.30 (  4.34)
Epoch: 2140/195, Time  0.378 ( 2.263), Data  0.025 ( 1.896), Loss 8.2763e+00 (8.2252e+00), Acc@1   0.78 (  1.25), Acc@5   3.91 (  4.37)
Epoch: 2150/195, Time  0.352 ( 2.139), Data  0.001 ( 1.772), Loss 8.1710e+00 (8.2238e+00), Acc@1   2.73 (  1.26), Acc@5   7.81 (  4.41)
Epoch: 2160/195, Time  0.354 ( 2.029), Data  0.000 ( 1.663), Loss 8.2322e+00 (8.2196e+00), Acc@1   1.56 (  1.27), Acc@5   4.69 (  4.47)
Epoch: 2170/195, Time  0.361 ( 1.931), Data  0.001 ( 1.566), Loss 8.2375e+00 (8.2189e+00), Acc@1   2.34 (  1.31), Acc@5   5.47 (  4.55)
Epoch: 2180/195, Time  0.342 ( 1.844), Data  0.000 ( 1.480), Loss 8.1108e+00 (8.2151e+00), Acc@1   2.34 (  1.34), Acc@5   6.25 (  4.62)
Epoch: 2190/195, Time  0.354 ( 1.766), Data  0.000 ( 1.402), Loss 8.0532e+00 (8.2127e+00), Acc@1   1.56 (  1.38), Acc@5   5.86 (  4.69)
Epoch: 3  0/195, Time 232.628 (232.628), Data 232.269 (232.269), Loss 8.1859e+00 (8.1859e+00), Acc@1   1.95 (  1.95), Acc@5   3.91 (  3.91)
Epoch: 3 10/195, Time  2.131 (21.962), Data  1.779 (21.595), Loss 8.0819e+00 (8.1236e+00), Acc@1   0.39 (  1.95), Acc@5   5.86 (  6.14)
Epoch: 3 20/195, Time  0.350 (11.685), Data  0.000 (11.312), Loss 8.2928e+00 (8.1320e+00), Acc@1   0.78 (  1.90), Acc@5   2.73 (  5.97)
Epoch: 3 30/195, Time  0.366 ( 8.035), Data  0.000 ( 7.663), Loss 8.0986e+00 (8.1331e+00), Acc@1   1.56 (  1.97), Acc@5   2.73 (  5.91)
Epoch: 3 40/195, Time  0.424 ( 6.279), Data  0.000 ( 5.909), Loss 8.1344e+00 (8.1171e+00), Acc@1   3.12 (  2.20), Acc@5   6.64 (  6.26)
Epoch: 3 50/195, Time  0.357 ( 5.117), Data  0.001 ( 4.751), Loss 8.1594e+00 (8.1145e+00), Acc@1   0.39 (  2.16), Acc@5   5.86 (  6.33)
